region,no_salaried_family,liability,parent_qualification,college_expenses,community_impact,hometown_district,engg_education,college_resource,volunteer_activities,engg_passion,engg_choice,study_excitment,motivation_challenges,higher_studies,analytics_skills,specific_domain,internship_role,national_level_compitition,encounter_latest_trends,idol_mentor,technical_skills,extracurricular_participation,academic_performance,time_management,future_skill_development,project_collaboration,network_building,teamwork,software_update,deal_distraction,abroad_study,leadership_role,analytics_trust,responsibility_pursuance,enjoy_engg,enjoyable_aspect,study_satisfaction,extracurricular_effect,argument_deal,engg_perception,realtime_agitate,stress,stress_management,proud_feeling,study_fun_management,self_realization,college_support,achievements_impact,alternative_field,carrer_fear,recession_impact,job_search_challenges,backup_plan,extraskills,physical_health,dietary_habits,daily-routine,routine_pattern,selfcare,mental_wellness,college_overhelmed,sentiment,sleep_cycle,strees_relief,hobbies,total
1,1,0,2,1,0,1,0,1,1,2,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,2,2,0,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,0,2,1,0,1,1,0,0,0,1,48
1,0,0,1,1,0,1,1,1,0,1,0,2,0,0,2,1,1,0,0,1,1,0,1,2,0,0,1,1,1,2,1,0,2,0,1,1,0,2,1,0,2,2,0,1,1,1,2,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,52
0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,2,0,1,1,2,1,0,1,1,2,0,0,1,1,0,2,1,1,1,1,0,2,0,0,1,0,2,1,2,1,0,0,1,1,0,1,2,1,0,1,1,2,1,1,0,1,1,0,0,0,1,49
0,0,0,0,0,0,1,0,1,0,1,2,2,1,0,2,1,1,0,0,0,0,0,1,2,1,1,1,0,1,1,1,1,0,0,1,2,0,2,1,0,2,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,2,0,1,1,1,0,0,0,1,50
0,1,0,1,0,0,1,0,0,1,2,0,2,1,0,0,1,1,1,2,0,1,1,1,2,0,1,1,1,0,2,0,1,0,0,2,2,1,0,2,1,2,0,0,0,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,1,64
0,1,0,0,1,0,1,0,1,0,2,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,2,0,0,0,1,0,1,0,2,0,2,2,0,1,0,0,1,1,0,0,1,2,1,0,1,0,0,1,1,0,1,2,2,2,0,1,43
1,0,1,0,1,1,1,1,1,0,2,0,1,0,0,2,0,1,0,2,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,2,0,1,1,0,1,1,1,1,2,1,1,1,0,1,2,1,1,0,0,1,2,1,0,0,1,0,0,1,1,48
1,0,1,0,1,1,1,0,1,1,2,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,2,1,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,1,1,0,1,0,0,0,0,33
1,0,0,0,1,0,1,0,1,1,1,2,2,1,1,2,1,1,1,0,1,2,1,1,0,0,1,0,1,1,1,1,1,0,1,1,2,0,0,2,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,2,1,1,1,52
0,2,0,1,1,0,0,0,1,1,1,2,2,1,1,0,0,1,1,0,1,1,0,1,2,2,0,2,1,0,1,1,1,1,0,0,2,0,2,2,0,1,2,2,1,0,0,1,1,0,0,2,1,1,1,1,0,1,1,0,1,0,1,1,2,1,57
1,0,0,0,1,0,1,0,1,0,1,2,2,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,2,2,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,2,1,0,0,1,1,0,1,1,41
0,1,0,2,1,0,1,0,2,1,1,0,1,1,1,1,1,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,0,1,1,2,0,2,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,2,1,0,1,1,0,1,1,1,52
0,1,1,2,1,1,2,0,0,0,1,2,2,0,1,1,0,2,1,2,0,0,0,2,0,1,0,1,2,1,2,1,1,1,0,0,2,1,2,2,0,2,0,2,0,1,1,1,1,0,1,2,1,0,1,0,2,0,1,0,1,2,1,0,0,1,60
0,1,0,0,1,0,0,0,0,1,1,0,2,2,1,1,1,1,0,2,1,0,0,1,0,0,1,1,0,0,2,1,1,1,2,0,0,0,0,2,1,2,0,1,0,0,1,2,1,0,1,1,1,1,1,0,2,1,1,1,1,2,0,0,1,1,50
1,1,0,2,1,1,1,0,1,0,1,2,2,1,0,1,1,1,0,0,0,1,0,1,2,0,1,0,1,1,2,0,0,0,0,0,1,0,0,2,2,2,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,2,1,0,1,0,0,1,1,1,48
1,0,1,1,1,0,1,0,0,1,1,2,2,0,0,1,1,1,1,0,1,1,1,1,2,0,0,1,0,1,2,1,0,0,1,0,1,0,2,2,2,2,0,0,0,0,1,1,0,0,1,2,1,1,1,0,1,2,0,1,1,1,0,1,0,0,51
1,0,1,1,0,1,1,0,0,0,1,2,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,1,2,1,2,2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,2,1,1,0,2,2,0,2,0,43
1,0,1,0,1,1,1,0,1,1,1,2,2,0,0,1,1,1,1,2,1,1,0,2,2,1,0,1,0,1,2,1,0,1,0,1,2,2,0,2,0,1,1,0,0,0,0,0,1,0,1,2,1,0,1,1,1,2,1,0,1,0,1,1,2,1,57
1,2,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,21
1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,42
1,0,0,0,1,0,1,0,1,0,1,2,2,1,0,2,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,2,0,2,2,2,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,2,0,0,1,1,1,1,1,1,46
1,0,0,0,1,0,2,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,2,1,0,0,1,1,0,0,0,1,1,0,1,0,1,2,1,1,0,1,2,0,2,1,37
1,2,0,2,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,2,2,0,1,1,0,1,0,2,1,0,2,0,1,0,1,0,2,0,0,0,0,2,2,0,2,0,2,0,0,2,0,43
0,1,0,1,1,1,1,0,0,1,1,2,2,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,2,0,1,0,0,0,2,0,2,2,2,2,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,2,0,0,1,2,0,0,1,1,50
0,0,0,2,1,0,2,0,2,0,1,2,2,0,1,1,1,1,1,1,1,2,1,2,2,0,1,1,0,1,2,1,1,2,0,1,2,2,0,2,0,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,70
0,0,0,1,1,0,1,0,2,0,1,2,2,0,1,2,1,1,0,1,1,2,0,1,2,0,1,2,0,1,1,1,1,2,0,1,2,2,0,2,0,1,0,2,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,61
0,0,0,1,1,0,1,0,1,1,2,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,2,0,1,2,2,0,2,0,1,0,0,1,0,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2,1,49
0,0,0,1,1,0,1,0,1,0,1,2,1,0,1,1,1,1,1,2,1,1,1,1,2,0,1,1,1,1,2,1,1,0,0,1,2,2,0,2,2,1,1,0,1,0,0,2,1,0,1,1,1,1,1,0,0,2,1,0,1,2,1,2,1,1,60
1,2,0,2,1,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,1,1,0,2,0,0,0,0,0,2,0,1,1,2,2,1,2,0,1,0,0,0,1,1,2,1,0,0,1,1,1,1,0,1,1,0,0,2,0,45
0,0,0,1,0,0,1,1,2,0,1,2,1,0,1,1,1,1,1,0,1,1,0,1,2,0,0,1,1,0,2,1,0,0,0,1,2,2,2,1,0,1,0,2,1,0,1,0,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,53
1,0,0,1,1,0,1,0,1,0,1,0,2,0,0,2,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,2,2,0,1,0,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,49
1,0,0,1,1,0,1,0,1,0,1,2,2,0,1,1,1,1,0,0,0,1,0,1,2,1,0,1,0,0,2,1,0,0,0,0,1,0,2,2,0,2,2,0,1,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,1,0,1,0,2,1,48
1,2,1,0,1,1,0,0,0,1,1,2,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,2,1,1,0,0,0,2,0,0,2,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,2,2,1,54
0,0,0,1,1,0,1,0,0,1,1,2,2,0,1,0,0,1,1,2,1,1,1,1,0,0,1,1,1,0,2,1,1,0,0,1,2,0,0,2,0,1,1,0,0,2,1,1,1,0,1,2,1,1,1,1,0,2,1,0,1,1,2,1,1,1,54
0,0,0,0,0,0,1,1,1,1,1,2,2,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,2,1,0,1,1,1,1,1,1,44
1,0,1,0,1,1,1,1,0,0,1,2,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,2,1,1,0,0,0,0,1,2,2,0,2,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,2,0,0,1,1,48
0,0,0,2,1,0,0,0,1,1,1,2,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,2,1,0,1,1,0,0,0,1,39
0,1,0,2,0,0,1,0,1,1,1,2,2,1,1,1,1,1,0,0,1,1,0,1,0,2,0,1,1,1,2,1,0,0,1,1,1,0,2,2,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,2,2,1,0,1,1,0,0,0,1,53
0,1,0,2,1,0,2,0,1,1,1,0,2,1,1,1,0,1,1,0,1,1,0,2,0,1,0,1,0,1,1,1,0,0,0,1,1,0,2,2,0,1,1,2,0,0,0,1,1,1,1,2,1,1,1,1,1,2,1,0,1,1,0,1,2,1,55
0,0,0,0,1,0,1,0,1,0,1,2,2,0,0,1,1,1,0,2,1,1,0,1,2,0,1,1,2,0,1,1,0,2,0,1,1,0,0,1,0,1,2,0,1,1,0,0,1,0,1,1,1,0,1,0,0,2,1,0,1,1,0,1,1,1,47
1,0,0,0,0,1,1,1,0,0,1,2,2,0,0,2,0,1,0,0,0,1,0,1,2,1,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,2,1,1,0,0,1,1,1,1,41
0,0,0,1,1,0,1,0,1,1,1,2,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,2,2,1,1,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,0,1,1,1,1,0,1,45
0,1,0,1,1,0,1,0,1,0,1,2,1,1,1,2,1,1,1,0,1,1,1,1,2,2,1,1,0,1,1,1,1,0,0,1,1,0,2,2,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,2,1,1,1,1,0,1,1,1,58
1,0,1,0,1,0,0,0,1,1,0,2,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,2,1,1,1,0,2,0,0,1,0,2,2,0,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,50
1,0,1,1,1,0,1,0,1,0,2,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,2,1,2,0,2,1,0,1,2,1,0,1,0,1,2,1,1,1,0,1,2,1,0,0,0,1,0,0,1,43
1,0,1,0,1,0,1,1,1,1,1,2,0,1,1,2,1,1,0,0,1,1,1,2,2,1,0,1,1,1,2,1,1,2,0,0,2,2,0,2,0,1,2,0,0,1,0,0,1,0,1,2,1,1,1,1,1,1,1,0,1,0,1,0,2,1,59
1,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,0,1,0,1,0,0,1,1,2,1,1,2,0,0,1,0,2,2,0,1,0,2,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,57
0,0,0,0,1,1,1,0,1,1,2,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,1,1,1,0,1,0,2,0,0,1,2,2,1,1,1,47
1,0,0,1,1,0,1,0,1,0,1,0,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,2,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,2,1,0,1,1,0,1,0,1,35
0,0,0,0,1,0,1,0,0,1,1,2,1,0,1,1,1,1,1,1,1,2,1,2,2,0,1,1,0,1,1,1,1,2,0,2,2,1,2,2,0,1,1,0,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,0,1,2,4,1,1,64
0,0,0,2,1,0,1,0,1,1,1,2,2,0,0,0,1,1,0,0,1,1,0,2,2,2,0,1,0,1,2,0,0,1,1,0,1,0,2,1,2,1,1,0,1,0,1,2,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,54
1,0,1,0,1,0,1,1,1,0,2,2,2,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,0,2,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,39
1,0,0,1,1,0,1,0,1,0,1,0,2,0,0,1,1,1,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,0,2,0,2,1,2,1,0,2,0,0,1,0,1,0,1,1,1,0,0,1,2,1,1,1,1,1,2,0,2,0,47
0,0,0,0,1,0,0,0,1,0,2,2,2,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,2,2,2,2,0,0,0,1,0,1,0,1,2,0,1,1,1,1,1,1,0,1,1,1,0,4,1,47
1,1,0,1,1,0,1,0,2,1,1,0,2,0,1,1,0,2,1,2,0,0,0,1,0,1,0,0,1,0,2,0,0,0,1,2,1,0,2,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,2,0,1,0,2,0,0,0,1,44
1,0,0,0,1,0,1,1,0,0,2,0,2,0,1,1,0,1,0,2,0,0,0,1,0,0,1,1,1,0,2,1,0,0,1,1,1,0,2,2,0,1,1,0,1,1,1,1,1,0,1,2,1,0,1,1,1,2,1,0,1,1,1,2,1,1,51
0,1,0,0,0,0,1,1,1,1,2,0,1,2,0,1,1,1,1,2,0,1,1,1,0,1,0,1,1,1,2,0,0,2,1,1,1,0,2,1,2,2,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,2,0,50
0,0,0,2,1,0,0,1,1,0,2,1,0,1,0,2,0,1,1,0,0,0,1,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,2,2,0,2,0,2,0,1,0,0,0,1,1,1,1,0,1,1,1,2,0,1,0,1,0,0,2,0,42
0,2,0,1,1,0,1,0,1,0,1,2,2,1,0,1,1,1,0,0,1,1,0,2,0,0,0,1,1,1,2,1,0,2,0,0,1,0,2,2,0,1,1,0,1,0,0,0,0,0,1,2,1,1,1,1,1,2,1,0,1,1,2,0,0,1,51
0,0,0,1,1,0,1,0,1,0,1,2,2,1,0,0,1,1,0,0,1,1,0,2,0,0,0,1,1,1,2,0,0,2,0,0,1,0,2,2,0,1,1,0,1,0,0,1,0,1,1,2,1,1,1,1,1,2,1,0,1,1,2,0,0,1,49
1,0,1,0,1,1,2,1,0,1,1,2,2,0,0,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,0,1,0,1,1,2,2,2,2,0,1,1,2,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2,1,66
1,1,0,1,1,0,1,1,1,0,2,2,1,0,1,1,1,1,0,1,1,2,1,2,2,0,1,1,0,1,1,1,1,2,0,1,2,2,0,2,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,49
0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,1,2,2,2,0,0,2,1,2,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,4,1,1,48
1,0,1,1,1,0,1,1,1,1,2,0,1,0,0,1,1,2,0,0,0,0,0,1,2,1,0,2,1,0,0,0,0,1,1,2,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,2,1,0,1,2,1,0,0,0,46
1,0,0,2,1,0,1,0,1,0,1,2,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,1,1,0,2,2,2,2,0,0,1,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,43
0,0,1,0,1,1,0,1,0,1,1,0,2,1,1,1,1,1,1,2,1,1,1,0,0,2,1,0,0,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,2,0,4,1,61
1,0,0,1,0,0,1,0,1,1,2,0,2,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,2,1,0,1,1,0,0,0,2,2,2,1,1,0,1,0,0,0,1,1,0,2,1,1,1,1,1,2,1,0,1,2,0,0,0,1,48
1,0,0,0,1,0,1,1,1,0,2,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,1,2,2,2,0,2,1,2,2,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,2,1,0,1,1,0,0,1,1,46
0,1,0,1,1,0,1,0,0,0,1,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,1,2,2,1,1,1,0,1,1,0,0,0,1,2,1,1,1,0,0,1,0,0,1,0,2,0,2,1,42
1,2,0,1,1,0,0,0,1,1,1,2,2,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,2,1,0,0,1,1,1,2,2,1,2,2,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,52
0,0,1,0,1,1,0,0,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,2,0,2,1,2,2,1,0,1,2,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,2,0,0,0,38
1,1,1,1,1,0,1,0,1,0,2,0,2,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,2,1,2,0,0,0,1,0,1,1,1,1,1,1,0,2,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,2,1,2,0,49
0,0,1,1,1,0,1,0,0,0,1,2,2,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,2,2,2,0,2,1,0,0,0,1,0,1,1,1,2,1,0,1,1,1,0,1,1,0,1,1,0,0,1,43
0,0,0,2,1,1,1,0,0,1,2,2,2,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,2,1,1,0,1,0,1,0,2,2,2,2,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,0,0,1,1,0,0,2,1,58
1,2,0,1,1,0,1,0,1,0,2,0,0,1,1,2,0,0,0,0,1,1,0,1,2,0,0,0,1,1,2,1,0,0,2,0,2,0,2,2,0,2,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,52
1,0,0,1,1,0,1,1,1,0,2,0,1,0,0,2,1,1,0,2,0,1,1,1,0,1,0,0,2,0,1,1,0,2,0,1,2,0,2,2,2,1,2,0,1,0,0,2,0,1,0,1,1,1,0,0,1,2,0,0,1,1,1,0,1,0,51
0,1,0,2,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,2,1,0,1,1,2,1,1,0,1,1,1,0,0,0,1,0,2,0,2,1,0,1,0,0,1,0,1,0,0,1,1,2,1,1,0,0,0,2,1,0,0,1,1,2,2,1,50
0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,1,1,2,0,1,0,0,0,1,2,0,0,1,2,1,1,0,0,0,0,2,2,1,1,2,1,1,1,2,0,0,0,1,0,0,1,2,1,0,0,1,0,2,0,0,1,0,0,1,0,1,43
0,1,0,2,1,1,2,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,2,0,0,1,0,1,2,1,1,0,0,2,1,0,1,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,2,0,0,1,1,53
1,1,0,1,1,0,0,0,0,0,1,2,0,0,1,1,1,0,1,1,1,1,0,0,2,1,1,1,1,1,1,1,0,2,0,0,1,1,1,2,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,2,2,0,1,1,1,2,2,0,1,50
0,0,0,1,1,0,1,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,0,1,2,0,2,1,0,2,1,0,1,1,1,0,0,1,0,2,0,0,1,0,1,0,0,0,1,1,0,0,1,1,36
1,0,0,2,1,0,0,0,0,1,2,1,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,2,0,1,0,2,2,2,2,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,1,2,1,51
0,1,0,1,1,0,1,0,1,0,2,0,1,0,0,2,0,1,1,0,0,0,0,0,0,2,0,1,2,1,1,0,0,1,2,2,2,0,1,2,2,1,2,1,0,1,1,0,0,1,1,2,1,1,0,1,1,1,1,0,1,0,0,1,0,1,50
1,0,0,0,1,0,1,0,1,0,1,0,2,1,1,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,2,2,2,2,0,0,1,0,0,1,0,1,1,1,0,1,0,1,2,1,0,1,1,1,1,0,1,45
1,2,0,1,1,0,1,0,1,1,1,2,2,1,0,1,0,2,0,0,1,0,0,1,0,0,0,1,1,0,2,0,0,0,1,1,2,2,2,1,0,1,1,2,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,48
1,0,0,1,1,0,2,0,1,0,1,2,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,1,1,1,1,1,0,0,0,0,2,2,2,1,2,2,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,2,0,0,1,0,1,1,2,1,51
0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,2,1,0,0,1,0,0,1,1,1,1,2,1,0,0,0,0,0,2,0,2,2,1,0,2,1,1,1,2,1,0,1,2,1,1,1,1,0,1,1,1,1,1,0,2,1,1,53
1,2,0,0,1,0,1,1,1,0,1,2,2,0,0,1,1,1,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,2,0,0,2,0,2,2,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,2,0,0,1,1,0,0,2,1,46
0,1,0,0,1,0,0,0,1,1,1,2,2,2,0,1,1,1,1,0,0,1,1,1,2,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,2,0,0,1,0,0,0,1,0,1,2,1,1,1,1,1,2,0,0,1,1,2,0,2,1,58
0,0,0,1,1,0,0,0,0,1,1,2,2,1,0,2,0,1,1,0,0,0,0,1,2,0,0,1,0,0,2,1,0,0,0,0,2,0,2,2,2,2,1,2,0,1,0,0,1,0,1,2,1,1,1,1,1,2,1,0,1,0,1,1,1,1,51
1,0,1,0,1,1,1,1,2,0,1,2,2,1,1,2,1,1,0,2,0,1,0,1,0,1,1,1,0,1,1,0,0,2,0,1,1,0,2,1,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,58
0,0,0,2,1,0,1,0,1,1,2,0,0,1,0,2,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,2,2,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,2,1,0,0,0,0,0,4,1,42
1,2,0,1,0,0,1,0,1,1,1,2,2,1,0,2,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2,2,2,0,2,2,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,4,1,45
1,0,0,2,0,0,2,0,1,1,1,1,2,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,2,1,1,2,1,0,0,2,0,2,0,1,0,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,56
1,0,0,0,1,0,1,1,1,0,1,2,2,1,0,1,1,1,1,2,1,1,0,1,0,1,1,0,0,1,1,1,1,2,0,1,2,2,0,2,0,1,1,0,1,1,1,2,1,1,1,1,1,1,1,0,0,2,1,1,1,1,0,1,2,1,59
1,0,0,1,1,0,1,0,1,0,1,2,2,1,0,1,0,1,0,0,0,0,0,1,2,1,0,2,1,0,1,0,0,1,1,1,2,0,2,1,2,2,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,2,1,0,0,0,0,0,1,0,45
1,0,1,0,1,1,1,1,1,1,0,2,2,0,1,2,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,2,0,1,2,2,1,1,0,2,0,1,0,0,1,1,1,2,1,1,1,1,0,0,1,1,1,2,0,0,4,1,56
1,0,1,1,1,1,1,0,1,0,1,0,2,0,1,1,0,1,1,2,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,2,0,2,2,0,1,1,0,1,2,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,2,1,46
0,0,0,0,1,0,1,0,1,1,1,1,2,2,1,2,1,0,1,1,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,2,0,1,1,2,1,1,1,2,1,1,1,1,2,2,0,2,0,0,2,2,0,0,55
1,0,0,0,1,0,1,0,1,0,2,2,2,1,0,1,0,1,0,0,1,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,2,0,2,1,2,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,44
0,0,0,1,1,0,1,0,1,0,1,2,1,2,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,2,1,0,2,2,2,2,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,2,0,1,0,1,52
